Num;version_texte;version_corrigee;version_unifiee;id;type;lieu;ref_agorha;bio
;Fouquet;Dr Daniel Marie Fouquet;Fouquet, Dr Daniel-Marie;dmfouquet;collectionneur;;;
;docteur Fouquet;Dr Daniel Marie Fouquet;Fouquet, Dr Daniel-Marie;dmfouquet;collectionneur;;;
;;;;;;;;
;Salinas;Antonino Salinas;Salinas, Antonino;asalinas;savant;;;
;;;;;;;;
;Mazerolle;Fernand Mazerolle;Mazerolle, Fernand;fmazerolle;savant;;;
;;;;;;;;
;CHAVANNES;Édouard Chavannes;Chavannes, Édouard;echavannes;savant;;;
;;;;;;;;
;S. LEVI;Sylvain Levi;Levi, Sylvain;slevi;savant;;;
;;;;;;;;
;Marseille;Léon Marseille;Marseille, Léon;lmarseille;marchand;;;
;;;;;;;;
;Sebah;Jean Sebah;Sebah, Jean;jsebah;artiste;;;
;;;;;;;;
;Pourtalès;Guy de Pourtalès;Pourtalès, de;gdpourtales;ecrivain;;;
;;;;;;;;
;Suarès;André Suarès;Suarès, André;asuares;ecrivain;;;
;André Suarez;André Suarès;Suarès, André;asuares;ecrivain;;;
;le divin;André Suarès;Suarès, André;asuares;ecrivain;;;
;;;;;;;;
;Poiret.;Paul Poiret;Poiret, Paul;ppoiret;collectionneur;;;
;;;;;;;;
;des Nouettes;Richard Lefebvre des Nouettes;Lefebvre des Nouettes, Richard;rldnouettes;savant;;;
;Lefebvre des Nouettes;Richard Lefebvre des Nouettes;Lefebvre des Nouettes, Richard;rldnouettes;savant;;;
;;;;;;;;
;Maurice Denis;Maurice Denis;Denis, Maurice;mdenis;artiste;;;
;;;;;;;;
;Bakst;Léon Bakst;Bakst, Léon;lbakst;artiste;;;
;Basck;Léon Bakst;Bakst, Léon;lbakst;artiste;;;
;;;;;;;;
;Michaelis;Adolf Michaelis;Michaelis, Adolf;amichaelis;savant;;;
;;;;;;;;
;Baer;Joseph Baer & Co.;Baer / Joseph Baer & Co.;org4;fournisseur;;;
;;;;;;;;
;Gleizes;Albert Gleizes;Gleizes, Albert;agleizes;artiste;;;
;;;;;;;;
;Matisse;Henri Matisse;Matisse, Henri;hmatisse;artiste;;;
;;;;;;;;
;Berthe Morisot;Berthe Morisot;Morisot, Berthe;bmorisot;artiste;;;
;;;;;;;;
;Monticelli;Adolphe Monticelli;Monticelli, Adolphe;amonticelli;artiste;;;
;;;;;;;;
;Dufrêne;Charles Dufresnes;Dufresnes, Charles;cdufresnes;artiste;;;
;;;;;;;;
;Cornu;Paul Cornu;Cornu, Paul;pcornu;savant;;;
;;;;;;;;
;Leroux;Ernest Leroux;Leroux, Ernest;eleroux;editeur;;;
;;;;;;;;
;Olschki;Léo Olschki;Olschki, Léo;org5;fournisseur;;;
;Olscky;Léo Olschki;Olschki, Léo;org5;fournisseur;;;
;;;;;;;;
;Bulloz;Jacques-Ernest Bulloz;Bulloz;jebulloz;fournisseur;;;
;;;;;;;;
;Quaritch;Bernard Quaritch;Quaritch, Bernard;bquarich;fournisseur;;;
;;;;;;;;
;Jacques Rosenthal;Jacques Rosenthal;Rosenthal, Jacques;jrosenthal;fournisseur;;;
;;;;;;;;
;Rosenberg;Léonce Rosenberg;Rosenberg, Léonce;lrosenberg;collectionneur;;;
;;;;;;;;
;Vauxcelles;Louis Vauxcelles;Vauxcelles, Louis;lvauxcelles;critique;;;
;;;;;;;;
;Madame;Myto René-Jean;René-Jean, Myto;mrenejean;famille;;;
;Madame René-Jean;Myto René-Jean;René-Jean, Myto;mrenejean;famille;;;
;;;;;;;;
;Paul Seruzier;Paul Sérusier;Sérusier, Paul;pserusier;artiste;;;
;Paul Serusier;Paul Sérusier;Sérusier, Paul;pserusier;artiste;;;
;;;;;;;;
;Odilon Redon;Odilon Redon;Redon, Odilon;oredon;artiste;;;
;;;;;;;;
;Dulac;Charles-Marie Dulac;Dulac, Charles-Marie;cmdulac;artiste;;;
;Marie-Charles Dulas;Charles-Marie Dulac;Dulac, Charles-Marie;cmdulac;artiste;;;
;;;;;;;;
;Ed. Cros;Henri-Edmond Cross;Cross, Henri-Edmond;hecross;artiste;;;
;;;;;;;;
;Aristide Maillol;Aristide Maillol;Maillol, Aristide;amaillol;artiste;;;
;;;;;;;;
;Seurat;Georges Seurat;Seurat, Georges;gseurat;artiste;;;
;;;;;;;;
;Signac;Paul Signac;Signac, Paul;psignac;artiste;;;
;;;;;;;;
;Pardinel;Charles Victor Pardinel;Pardinel, Charles Victor;cvpardinel;collectionneur;;;
;;;;;;;;
;Max Jacob;Max Jacob;Jacob, Max;mjacob;ecrivain;;;
;;;;;;;;
;Reverdy;Pierre Revedy;Reverdy, Pierre;preverdy;ecrivain;;;
;;;;;;;;
;Copeau;Jacques Copeau;Copeau;jcopeau;critique;;;Les contacts de Doucet avec Copeau, réformateur du théâtre en France au cours de la première moitié du XXe siècle, s'expliquent sans doute par sa clientèle, notamment constituée de comédiennes.  
;;;;;;;;
;Naudin;Bernard Naudin;Naudin, Bernard;bnaudin;artiste;;;
;;;;;;;;
;Pottier;Edmond Pottier;Pottier, Edmond;epottier;savant;;;
;;;;;;;;
;Ranson;Paul Élie Ranson;Ranson, Paul Elie;peranson;artiste;;;
;;;;;;;;
;Schemit;Jean Schemit;Schemit, Jean;jschemit;fournisseur;;;
;;;;;;;;
;Picard;Charles Picard;Picard, Charles;cpicard;savant;;;
;;;;;;;;
;Sitte;Sitte;Sitte;sitte;savant;;;
;;;;;;;;
;Fougères;Gustave Fougères;Fougères, Gustave;gfougeres;savant;;;
;;;;;;;;
;Berenson;Bernard Berenson;Berenson, Bernard;bberenson;savant;;;
;;;;;;;;
;Guiffrey;Jean Guiffrey;Guiffrey, Jean;jguiffrey;savant;;;
;Jean Guiffrey;Jean Guiffrey;Guiffrey, Jean;jguiffrey;savant;;;
;;;;;;;;
;Steeg;Théodore Steeg;Steeg, Théodore;tsteeg;politique;;;
;;;;;;;;
;J. Hackin;Joseph Hackin;Hackin, Joseph;jhackin;savant;;;
;;;;;;;;
;Pelliot;Paul Pelliot;Pelliot, Paul;ppelliot;savant;;;
;;;;;;;;
;Le Chatelier;Alfred Le Chatelier;Le Chatelier;alechatelier;savant;;;
;;;;;;;;
;Hulot;Hulot;Hulot;hulot;UNDEFINED;;;
;;;;;;;;
;Rhomaides;Rhomaidès;Rhomaidès;rhomaides;artiste;;;
;;;;;;;;
;Elias;Julius Elias;Elias, Julius;jelias;critique;;;
;;;;;;;;
;Boinet;Amédée Boinet;Boinet, Amédée;aboinet;employe;;;
;;;;;;;;
;d’Archicourt;Maurice Darchicourt;Darchicourt, Maurice;mdarchicourt;employe;;;
;;;;;;;;
;Lewitska;Sonia Lewitska;Lewitska, Sonia;slewitska;artiste;;;
;;;;;;;;
;Simiriottis;Alexandre Simiriottis;Simiriottis, Alexandre;asimiriottis;artiste;;;
